Value =  1.03548e+00
Rxn  Value+       Value-           Sensitivi   Reaction Name
   0  1.03548e+00   1.03548e+00   0.0000e+00  H + O2 <=> O + OH:A
   1  1.03548e+00   1.03548e+00   0.0000e+00  H + O2 <=> O + OH:E
   2  1.03548e+00   1.03548e+00   0.0000e+00  H2 + O <=> H + OH:A
   3  1.03548e+00   1.03548e+00   0.0000e+00  H2 + O <=> H + OH:E
   4  1.03548e+00   1.03548e+00   0.0000e+00  H2 + OH <=> H + H2O:A
   5  1.03548e+00   1.03548e+00   0.0000e+00  H2 + OH <=> H + H2O:E
   6  1.03548e+00   1.03548e+00   0.0000e+00  2 OH <=> H2O + O:A
   7  1.03548e+00   1.03548e+00   0.0000e+00  2 OH <=> H2O + O:E
   8  1.03548e+00   1.03548e+00  -7.4299e-07  2 H + M <=> H2 + M:A
   9  1.03548e+00   1.03548e+00   8.0379e-10  2 H + H2 <=> 2 H2:A
  10  1.03548e+00   1.03548e+00   0.0000e+00  2 H + H2O <=> H2 + H2O:A
  11  1.03548e+00   1.03548e+00   0.0000e+00  CO2 + 2 H <=> CO2 + H2:A
  12  1.03548e+00   1.03548e+00   0.0000e+00  H + OH + M <=> H2O + M:A
  13  1.03548e+00   1.03548e+00   0.0000e+00  H + O + M <=> OH + M:A
  14  1.03548e+00   1.03548e+00   0.0000e+00  2 O + M <=> O2 + M:A
  15  1.03548e+00   1.03548e+00   0.0000e+00  H + O2 + M <=> HO2 + M:A
  16  1.03548e+00   1.03548e+00   0.0000e+00  H + O2 + M <=> HO2 + M:E
  17  1.03548e+00   1.03548e+00   0.0000e+00  H + H2 + O2 <=> H2 + HO2:A
  18  1.03548e+00   1.03548e+00   0.0000e+00  H + H2 + O2 <=> H2 + HO2:E
  19  1.03548e+00   1.03548e+00   0.0000e+00  H + 2 O2 <=> HO2 + O2:A
  20  1.03548e+00   1.03548e+00   0.0000e+00  H + 2 O2 <=> HO2 + O2:E
  21  1.03548e+00   1.03548e+00   0.0000e+00  CO + H + O2 <=> CO + HO2:A
  22  1.03548e+00   1.03548e+00   0.0000e+00  CO + H + O2 <=> CO + HO2:E
  23  1.03548e+00   1.03548e+00   0.0000e+00  CO2 + H + O2 <=> CO2 + HO2:A
  24  1.03548e+00   1.03548e+00   0.0000e+00  CO2 + H + O2 <=> CO2 + HO2:E
  25  1.03548e+00   1.03548e+00   0.0000e+00  H + H2O + O2 <=> H2O + HO2:A
  26  1.03548e+00   1.03548e+00   0.0000e+00  H + H2O + O2 <=> H2O + HO2:E
  27  1.03548e+00   1.03548e+00   0.0000e+00  AR + H + O2 <=> AR + HO2:A
  28  1.03548e+00   1.03548e+00   0.0000e+00  AR + H + O2 <=> AR + HO2:E
  29  1.03548e+00   1.03548e+00   0.0000e+00  H + HE + O2 <=> HE + HO2:A
  30  1.03548e+00   1.03548e+00   0.0000e+00  H + HE + O2 <=> HE + HO2:E
  31  1.03548e+00   1.03548e+00   0.0000e+00  H2 + O2 <=> H + HO2:A
  32  1.03548e+00   1.03548e+00   0.0000e+00  H2 + O2 <=> H + HO2:E
  33  1.03548e+00   1.03548e+00  -5.0212e-07  2 OH (+M) <=> H2O2 (+M):HpA
  34  1.03548e+00   1.03548e+00   0.0000e+00  H + HO2 <=> H2O + O:A
  35  1.03548e+00   1.03548e+00   0.0000e+00  H + HO2 <=> H2O + O:E
  36  1.03548e+00   1.03548e+00   0.0000e+00  H + HO2 <=> 2 OH:A
  37  1.03548e+00   1.03548e+00   0.0000e+00  H + HO2 <=> 2 OH:E
  38  1.03548e+00   1.03548e+00   0.0000e+00  HO2 + O <=> O2 + OH:A
  39  1.03548e+00   1.03548e+00   0.0000e+00  2 HO2 <=> H2O2 + O2:A
  40  1.03548e+00   1.03548e+00   0.0000e+00  2 HO2 <=> H2O2 + O2:E
  41  1.03548e+00   1.03548e+00   0.0000e+00  2 HO2 <=> H2O2 + O2:A
  42  1.03548e+00   1.03548e+00   0.0000e+00  2 HO2 <=> H2O2 + O2:E
  43  1.03548e+00   1.03548e+00   0.0000e+00  HO2 + OH <=> H2O + O2:A
  44  1.03548e+00   1.03548e+00   0.0000e+00  HO2 + OH <=> H2O + O2:E
  45  1.03548e+00   1.03548e+00   0.0000e+00  H + H2O2 <=> H2 + HO2:A
  46  1.03548e+00   1.03548e+00   0.0000e+00  H + H2O2 <=> H2 + HO2:E
  47  1.03548e+00   1.03548e+00   0.0000e+00  H + H2O2 <=> H2O + OH:A
  48  1.03548e+00   1.03548e+00   0.0000e+00  H + H2O2 <=> H2O + OH:E
  49  1.03548e+00   1.03548e+00   0.0000e+00  H2O2 + O <=> HO2 + OH:A
  50  1.03548e+00   1.03548e+00   0.0000e+00  H2O2 + O <=> HO2 + OH:E
  51  1.03548e+00   1.03548e+00   0.0000e+00  H2O2 + OH <=> H2O + HO2:A
  52  1.03548e+00   1.03548e+00   0.0000e+00  H2O2 + OH <=> H2O + HO2:E
  53  1.03548e+00   1.03548e+00   0.0000e+00  H2O2 + OH <=> H2O + HO2:A
  54  1.03548e+00   1.03548e+00   0.0000e+00  H2O2 + OH <=> H2O + HO2:E
  55  1.03548e+00   1.03548e+00   0.0000e+00  CO + O (+M) <=> CO2 (+M):HpA
  56  1.03548e+00   1.03548e+00   0.0000e+00  CO + OH <=> CO2 + H:A
  57  1.03548e+00   1.03548e+00   0.0000e+00  CO + OH <=> CO2 + H:E
  58  1.03548e+00   1.03548e+00   0.0000e+00  CO + OH <=> CO2 + H:A
  59  1.03548e+00   1.03548e+00   0.0000e+00  CO + OH <=> CO2 + H:E
  60  1.03548e+00   1.03548e+00   0.0000e+00  CO + O2 <=> CO2 + O:A
  61  1.03548e+00   1.03548e+00   0.0000e+00  CO + O2 <=> CO2 + O:E
  62  1.03548e+00   1.03548e+00   0.0000e+00  CO + HO2 <=> CO2 + OH:A
  63  1.03548e+00   1.03548e+00   0.0000e+00  CO + HO2 <=> CO2 + OH:E
  64  1.03548e+00   1.03548e+00   0.0000e+00  H + HCO <=> CO + H2:A
  65  1.03548e+00   1.03548e+00   0.0000e+00  HCO + O <=> CO + OH:A
  66  1.03548e+00   1.03548e+00   0.0000e+00  HCO + O <=> CO2 + H:A
  67  1.03548e+00   1.03548e+00   0.0000e+00  HCO + OH <=> CO + H2O:A
  68  1.03548e+00   1.03548e+00   0.0000e+00  HCO + M <=> CO + H + M:A
  69  1.03548e+00   1.03548e+00   0.0000e+00  HCO + M <=> CO + H + M:E
  70  1.03548e+00   1.03548e+00   0.0000e+00  H2O + HCO <=> CO + H + H2O:A
