Value =  1.34529e+00
Rxn  Value+       Value-           Sensitivi   Reaction Name
   0  1.34529e+00   1.34529e+00  -8.8890e-10  H + O2 <=> O + OH:A
   1  1.34529e+00   1.34529e+00   2.2323e-10  H + O2 <=> O + OH:E
   2  1.34529e+00   1.34529e+00   2.3151e-10  H2 + O <=> H + OH:A
   3  1.34529e+00   1.34529e+00   1.1267e-11  H2 + O <=> H + OH:E
   4  1.34529e+00   1.34529e+00   3.1326e-10  H2 + OH <=> H + H2O:A
   5  1.34529e+00   1.34529e+00   1.4332e-10  H2 + OH <=> H + H2O:E
   6  1.34529e+00   1.34529e+00   0.0000e+00  2 OH <=> H2O + O:A
   7  1.34529e+00   1.34529e+00   0.0000e+00  2 OH <=> H2O + O:E
   8  1.34529e+00   1.34529e+00   3.4186e-08  2 H + M <=> H2 + M:A
   9  1.34529e+00   1.34529e+00   3.7080e-10  2 H + H2 <=> 2 H2:A
  10  1.34529e+00   1.34529e+00   0.0000e+00  2 H + H2O <=> H2 + H2O:A
  11  1.34529e+00   1.34529e+00   0.0000e+00  CO2 + 2 H <=> CO2 + H2:A
  12  1.34529e+00   1.34529e+00   2.0931e-10  H + OH + M <=> H2O + M:A
  13  1.34529e+00   1.34529e+00  -5.1076e-10  H + O + M <=> OH + M:A
  14  1.34529e+00   1.34529e+00   0.0000e+00  2 O + M <=> O2 + M:A
  15  1.34529e+00   1.34529e+00   4.8296e-10  H + O2 + M <=> HO2 + M:A
  16  1.34529e+00   1.34529e+00  -9.8235e-11  H + O2 + M <=> HO2 + M:E
  17  1.34529e+00   1.34529e+00   2.0492e-09  H + H2 + O2 <=> H2 + HO2:A
  18  1.34529e+00   1.34529e+00   1.6183e-10  H + H2 + O2 <=> H2 + HO2:E
  19  1.34529e+00   1.34529e+00   0.0000e+00  H + 2 O2 <=> HO2 + O2:A
  20  1.34529e+00   1.34529e+00   0.0000e+00  H + 2 O2 <=> HO2 + O2:E
  21  1.34529e+00   1.34529e+00   0.0000e+00  CO + H + O2 <=> CO + HO2:A
  22  1.34529e+00   1.34529e+00   0.0000e+00  CO + H + O2 <=> CO + HO2:E
  23  1.34529e+00   1.34529e+00   0.0000e+00  CO2 + H + O2 <=> CO2 + HO2:A
  24  1.34529e+00   1.34529e+00   0.0000e+00  CO2 + H + O2 <=> CO2 + HO2:E
  25  1.34529e+00   1.34529e+00   0.0000e+00  H + H2O + O2 <=> H2O + HO2:A
  26  1.34529e+00   1.34529e+00   0.0000e+00  H + H2O + O2 <=> H2O + HO2:E
  27  1.34529e+00   1.34529e+00   5.4206e-10  AR + H + O2 <=> AR + HO2:A
  28  1.34529e+00   1.34529e+00   9.4008e-10  AR + H + O2 <=> AR + HO2:E
  29  1.34529e+00   1.34529e+00   0.0000e+00  H + HE + O2 <=> HE + HO2:A
  30  1.34529e+00   1.34529e+00   0.0000e+00  H + HE + O2 <=> HE + HO2:E
  31  1.34529e+00   1.34529e+00  -4.7282e-10  H2 + O2 <=> H + HO2:A
  32  1.34529e+00   1.34529e+00   2.0569e-10  H2 + O2 <=> H + HO2:E
  33  1.34529e+00   1.34529e+00   1.2477e-09  2 OH (+M) <=> H2O2 (+M):HpA
  34  1.34529e+00   1.34529e+00   3.3980e-10  H + HO2 <=> H2O + O:A
  35  1.34529e+00   1.34529e+00   7.0113e-11  H + HO2 <=> H2O + O:E
  36  1.34529e+00   1.34529e+00  -3.5373e-10  H + HO2 <=> 2 OH:A
  37  1.34529e+00   1.34529e+00  -1.2098e-09  H + HO2 <=> 2 OH:E
  38  1.34529e+00   1.34529e+00   0.0000e+00  HO2 + O <=> O2 + OH:A
  39  1.34529e+00   1.34529e+00   0.0000e+00  2 HO2 <=> H2O2 + O2:A
  40  1.34529e+00   1.34529e+00   0.0000e+00  2 HO2 <=> H2O2 + O2:E
  41  1.34529e+00   1.34529e+00   0.0000e+00  2 HO2 <=> H2O2 + O2:A
  42  1.34529e+00   1.34529e+00   0.0000e+00  2 HO2 <=> H2O2 + O2:E
  43  1.34529e+00   1.34529e+00   0.0000e+00  HO2 + OH <=> H2O + O2:A
  44  1.34529e+00   1.34529e+00   0.0000e+00  HO2 + OH <=> H2O + O2:E
  45  1.34529e+00   1.34529e+00   1.0920e-09  H + H2O2 <=> H2 + HO2:A
  46  1.34529e+00   1.34529e+00  -1.2151e-09  H + H2O2 <=> H2 + HO2:E
  47  1.34529e+00   1.34529e+00  -1.0103e-11  H + H2O2 <=> H2O + OH:A
  48  1.34529e+00   1.34529e+00  -1.4823e-09  H + H2O2 <=> H2O + OH:E
  49  1.34529e+00   1.34529e+00   0.0000e+00  H2O2 + O <=> HO2 + OH:A
  50  1.34529e+00   1.34529e+00   0.0000e+00  H2O2 + O <=> HO2 + OH:E
  51  1.34529e+00   1.34529e+00   0.0000e+00  H2O2 + OH <=> H2O + HO2:A
  52  1.34529e+00   1.34529e+00   0.0000e+00  H2O2 + OH <=> H2O + HO2:E
  53  1.34529e+00   1.34529e+00   0.0000e+00  H2O2 + OH <=> H2O + HO2:A
  54  1.34529e+00   1.34529e+00   0.0000e+00  H2O2 + OH <=> H2O + HO2:E
  55  1.34529e+00   1.34529e+00   0.0000e+00  CO + O (+M) <=> CO2 (+M):HpA
  56  1.34529e+00   1.34529e+00   0.0000e+00  CO + OH <=> CO2 + H:A
  57  1.34529e+00   1.34529e+00   0.0000e+00  CO + OH <=> CO2 + H:E
  58  1.34529e+00   1.34529e+00   0.0000e+00  CO + OH <=> CO2 + H:A
  59  1.34529e+00   1.34529e+00   0.0000e+00  CO + OH <=> CO2 + H:E
  60  1.34529e+00   1.34529e+00   0.0000e+00  CO + O2 <=> CO2 + O:A
  61  1.34529e+00   1.34529e+00   0.0000e+00  CO + O2 <=> CO2 + O:E
  62  1.34529e+00   1.34529e+00   0.0000e+00  CO + HO2 <=> CO2 + OH:A
  63  1.34529e+00   1.34529e+00   0.0000e+00  CO + HO2 <=> CO2 + OH:E
  64  1.34529e+00   1.34529e+00  -2.4119e-10  H + HCO <=> CO + H2:A
  65  1.34529e+00   1.34529e+00   0.0000e+00  HCO + O <=> CO + OH:A
  66  1.34529e+00   1.34529e+00   0.0000e+00  HCO + O <=> CO2 + H:A
  67  1.34529e+00   1.34529e+00   0.0000e+00  HCO + OH <=> CO + H2O:A
  68  1.34529e+00   1.34529e+00   1.2210e-10  HCO + M <=> CO + H + M:A
  69  1.34529e+00   1.34529e+00  -1.2028e-09  HCO + M <=> CO + H + M:E
  70  1.34529e+00   1.34529e+00   0.0000e+00  H2O + HCO <=> CO + H + H2O:A
  71  1.34529e+00   1.34529e+00   0.0000e+00  H2O + HCO <=> CO + H + H2O:E
  72  1.34529e+00   1.34529e+00   0.0000e+00  HCO + O2 <=> CO + HO2:A
  73  1.34529e+00   1.34529e+00   0.0000e+00  HCO + O2 <=> CO + HO2:E
  74  1.34529e+00   1.34529e+00  -5.5605e-11  CO + H2 (+M) <=> CH2O (+M):HpA
  75  1.34529e+00   1.34529e+00   1.6397e-09  C + OH <=> CO + H:A
  76  1.34529e+00   1.34529e+00  -9.0829e-10  C + O2 <=> CO + O:A
  77  1.34529e+00   1.34529e+00   8.5755e-10  C + O2 <=> CO + O:E
  78  1.34529e+00   1.34529e+00   2.4728e-06  CH + H <=> C + H2:A
  79  1.34529e+00   1.34529e+00  -2.4969e-10  CH + O <=> CO + H:A
  80  1.34529e+00   1.34529e+00   8.0949e-10  CH + OH <=> H + HCO:A
  81  1.34528e+00   1.34529e+00  -8.8513e-05  CH + H2 <=> CH2 + H:A
  82  1.34529e+00   1.34528e+00   6.1747e-05  CH + H2 <=> CH2 + H:E
  83  1.34529e+00   1.34529e+00   7.4581e-10  CH + H2O <=> CH2O + H:A
  84  1.34529e+00   1.34529e+00  -6.8164e-10  CH + H2O <=> CH2O + H:E
  85  1.34529e+00   1.34529e+00  -2.2113e-09  CH + O2 <=> HCO + O:A
  86  1.34529e+00   1.34529e+00   1.3085e-09  CH + CO (+M) <=> HCCO (+M):HpA
  87  1.34529e+00   1.34529e+00   0.0000e+00  CH + CO2 <=> CO + HCO:A
  88  1.34529e+00   1.34529e+00   0.0000e+00  CH + CO2 <=> CO + HCO:E
  89  1.34529e+00   1.34529e+00  -1.7557e-10  H + HCO (+M) <=> CH2O (+M):HpA
  90  1.34529e+00   1.34529e+00  -4.2342e-07  CH2 + H (+M) <=> CH3 (+M):HpA
  91  1.34529e+00   1.34529e+00  -2.1809e-10  CH2 + O <=> H + HCO:A
  92  1.34529e+00   1.34529e+00  -4.7535e-10  CH2 + OH <=> CH2O + H:A
  93  1.34529e+00   1.34529e+00  -3.8205e-10  CH2 + OH <=> CH + H2O:A
  94  1.34529e+00   1.34529e+00   1.1349e-09  CH2 + OH <=> CH + H2O:E
  95  1.34529e+00   1.34529e+00   1.2931e-05  CH2 + H2 <=> CH3 + H:A
  96  1.34529e+00   1.34529e+00  -4.0796e-05  CH2 + H2 <=> CH3 + H:E
  97  1.34529e+00   1.34529e+00   1.6645e-09  CH2 + O2 <=> HCO + OH:A
  98  1.34529e+00   1.34529e+00  -9.2093e-10  CH2 + O2 <=> HCO + OH:E
  99  1.34529e+00   1.34529e+00  -1.4031e-09  CH2 + O2 <=> CO2 + 2 H:A
 100  1.34529e+00   1.34529e+00   2.8275e-10  CH2 + O2 <=> CO2 + 2 H:E
 101  1.34529e+00   1.34529e+00   5.2660e-10  CH2 + HO2 <=> CH2O + OH:A
 102  1.34529e+00   1.34529e+00  -4.5449e-10  C + CH2 <=> C2H + H:A
 103  1.34529e+00   1.34529e+00   6.5070e-10  CH2 + CO (+M) <=> CH2CO (+M):HpA
 104  1.34529e+00   1.34529e+00   1.4726e-09  CH + CH2 <=> C2H2 + H:A
 105  1.34529e+00   1.34529e+00  -2.5360e-07  2 CH2 <=> C2H2 + H2:A
 106  1.34529e+00   1.34529e+00   0.0000e+00  CH2* + N2 <=> CH2 + N2:A
 107  1.34529e+00   1.34529e+00   0.0000e+00  CH2* + N2 <=> CH2 + N2:E
 108  1.34529e+00   1.34529e+00   1.3841e-06  AR + CH2* <=> AR + CH2:A
 109  1.34529e+00   1.34529e+00  -3.7304e-07  AR + CH2* <=> AR + CH2:E
 110  1.34529e+00   1.34529e+00  -2.4687e-07  CH2* + H <=> CH + H2:A
 111  1.34529e+00   1.34529e+00   6.4942e-11  CH2* + O <=> CO + H2:A
 112  1.34529e+00   1.34529e+00   9.9703e-10  CH2* + O <=> H + HCO:A
 113  1.34529e+00   1.34529e+00  -5.1663e-10  CH2* + OH <=> CH2O + H:A
 114  1.34531e+00   1.34527e+00   3.1609e-04  CH2* + H2 <=> CH3 + H:A
 115  1.34529e+00   1.34529e+00  -3.2866e-10  CH2* + O2 <=> CO + H + OH:A
 116  1.34529e+00   1.34529e+00  -4.6335e-10  CH2* + O2 <=> CO + H2O:A
 117  1.34529e+00   1.34529e+00   6.6890e-10  CH2* + H2O (+M) <=> CH3OH (+M):HpA
 118  1.34529e+00   1.34529e+00   0.0000e+00  CH2* + H2O <=> CH2 + H2O:A
 119  1.34529e+00   1.34529e+00   0.0000e+00  CH2* + CO <=> CH2 + CO:A
 120  1.34529e+00   1.34529e+00   0.0000e+00  CH2* + CO2 <=> CH2 + CO2:A
 121  1.34529e+00   1.34529e+00   0.0000e+00  CH2* + CO2 <=> CH2O + CO:A
 122  1.34529e+00   1.34529e+00  -5.1267e-10  CH2O + H (+M) <=> CH2OH (+M):HpA
 123  1.34529e+00   1.34529e+00  -7.0700e-10  CH2O + H (+M) <=> CH3O (+M):HpA
 124  1.34529e+00   1.34529e+00   1.2207e-11  CH2O + H <=> H2 + HCO:A
 125  1.34529e+00   1.34529e+00  -9.0896e-10  CH2O + H <=> H2 + HCO:E
 126  1.34529e+00   1.34529e+00   0.0000e+00  CH2O + O <=> HCO + OH:A
 127  1.34529e+00   1.34529e+00   0.0000e+00  CH2O + O <=> HCO + OH:E
 128  1.34529e+00   1.34529e+00   0.0000e+00  CH2O + OH <=> H2O + HCO:A
 129  1.34529e+00   1.34529e+00   0.0000e+00  CH2O + OH <=> H2O + HCO:E
 130  1.34529e+00   1.34529e+00   0.0000e+00  CH2O + O2 <=> HCO + HO2:A
 131  1.34529e+00   1.34529e+00   0.0000e+00  CH2O + O2 <=> HCO + HO2:E
 132  1.34529e+00   1.34529e+00   0.0000e+00  CH2O + HO2 <=> H2O2 + HCO:A
 133  1.34529e+00   1.34529e+00   0.0000e+00  CH2O + HO2 <=> H2O2 + HCO:E
 134  1.34529e+00   1.34529e+00   5.1622e-11  CH + CH2O <=> CH2CO + H:A
 135  1.34529e+00   1.34529e+00  -1.4353e-09  CH + CH2O <=> CH2CO + H:E
 136  1.34528e+00   1.34529e+00  -8.3979e-05  CH3 + H (+M) <=> CH4 (+M):HpA
 137  1.34529e+00   1.34529e+00  -4.1520e-08  CH3 + O <=> CH2O + H:A
 138  1.34529e+00   1.34529e+00  -5.9744e-11  CH3 + OH (+M) <=> CH3OH (+M):HpA
 139  1.34529e+00   1.34529e+00   6.9918e-10  CH3 + OH <=> CH2 + H2O:A
 140  1.34529e+00   1.34529e+00   1.3613e-08  CH3 + OH <=> CH2 + H2O:E
 141  1.34529e+00   1.34529e+00  -1.0968e-08  CH3 + OH <=> CH2* + H2O:A
 142  1.34529e+00   1.34529e+00  -1.0989e-09  CH3 + O2 <=> CH3O + O:A
 143  1.34529e+00   1.34529e+00  -1.9547e-09  CH3 + O2 <=> CH3O + O:E
 144  1.34529e+00   1.34529e+00  -1.0744e-09  CH3 + O2 <=> CH2O + OH:A
 145  1.34529e+00   1.34529e+00   3.0257e-10  CH3 + O2 <=> CH2O + OH:E
 146  1.34529e+00   1.34529e+00  -6.0695e-11  CH3 + HO2 <=> CH4 + O2:A
 147  1.34529e+00   1.34529e+00   4.2350e-10  CH3 + HO2 <=> CH3O + OH:A
 148  1.34529e+00   1.34529e+00  -2.5781e-12  CH3 + H2O2 <=> CH4 + HO2:A
 149  1.34529e+00   1.34529e+00   3.4130e-10  CH3 + H2O2 <=> CH4 + HO2:E
 150  1.34529e+00   1.34529e+00   5.3565e-09  C + CH3 <=> C2H2 + H:A
 151  1.34529e+00   1.34529e+00   4.9416e-06  CH + CH3 <=> C2H3 + H:A
 152  1.34529e+00   1.34529e+00   1.0693e-09  CH3 + HCO <=> CH4 + CO:A
 153  1.34529e+00   1.34529e+00  -2.3127e-09  CH2O + CH3 <=> CH4 + HCO:A
 154  1.34529e+00   1.34529e+00  -7.4714e-10  CH2O + CH3 <=> CH4 + HCO:E
 155  1.34532e+00   1.34526e+00   4.4503e-04  CH2 + CH3 <=> C2H4 + H:A
 156  1.34529e+00   1.34529e+00   1.5879e-06  CH2* + CH3 <=> C2H4 + H:A
 157  1.34529e+00   1.34529e+00   3.9814e-07  CH2* + CH3 <=> C2H4 + H:E
 158  1.34514e+00   1.34544e+00  -2.2984e-03  2 CH3 (+M) <=> C2H6 (+M):HpA
 159  1.34513e+00   1.34543e+00  -2.2819e-03  2 CH3 <=> C2H5 + H:A
 160  1.34597e+00   1.34450e+00   1.0929e-02  2 CH3 <=> C2H5 + H:E
 161  1.34529e+00   1.34529e+00  -2.2379e-10  CH3 + HCCO <=> C2H4 + CO:A
 162  1.34529e+00   1.34529e+00   2.9649e-09  C2H + CH3 <=> C3H3 + H:A
 163  1.34529e+00   1.34529e+00   5.4519e-10  CH3O + H (+M) <=> CH3OH (+M):HpA
 164  1.34529e+00   1.34529e+00  -1.8235e-09  CH3O + H <=> CH2OH + H:A
 165  1.34529e+00   1.34529e+00  -6.1159e-10  CH3O + H <=> CH2O + H2:A
 166  1.34529e+00   1.34529e+00  -9.3224e-10  CH3O + H <=> CH3 + OH:A
 167  1.34529e+00   1.34529e+00   3.3644e-10  CH3O + H <=> CH2* + H2O:A
 168  1.34529e+00   1.34529e+00   0.0000e+00  CH3O + O <=> CH2O + OH:A
 169  1.34529e+00   1.34529e+00   0.0000e+00  CH3O + OH <=> CH2O + H2O:A
 170  1.34529e+00   1.34529e+00   0.0000e+00  CH3O + O2 <=> CH2O + HO2:A
 171  1.34529e+00   1.34529e+00   0.0000e+00  CH3O + O2 <=> CH2O + HO2:E
 172  1.34529e+00   1.34529e+00   8.6363e-10  CH2OH + H (+M) <=> CH3OH (+M):HpA
 173  1.34529e+00   1.34529e+00  -1.2648e-09  CH2OH + H <=> CH2O + H2:A
 174  1.34529e+00   1.34529e+00   1.2816e-09  CH2OH + H <=> CH3 + OH:A
 175  1.34529e+00   1.34529e+00   2.0342e-10  CH2OH + H <=> CH2* + H2O:A
 176  1.34529e+00   1.34529e+00   0.0000e+00  CH2OH + O <=> CH2O + OH:A
 177  1.34529e+00   1.34529e+00   0.0000e+00  CH2OH + OH <=> CH2O + H2O:A
 178  1.34529e+00   1.34529e+00   0.0000e+00  CH2OH + O2 <=> CH2O + HO2:A
 179  1.34529e+00   1.34529e+00   0.0000e+00  CH2OH + O2 <=> CH2O + HO2:E
 180  1.34528e+00   1.34530e+00  -1.7131e-04  CH4 + H <=> CH3 + H2:A
 181  1.34534e+00   1.34523e+00   8.1562e-04  CH4 + H <=> CH3 + H2:E
 182  1.34529e+00   1.34529e+00   5.2777e-10  CH4 + O <=> CH3 + OH:A
 183  1.34529e+00   1.34529e+00   5.7927e-10  CH4 + O <=> CH3 + OH:E
 184  1.34529e+00   1.34529e+00   1.6359e-10  CH4 + OH <=> CH3 + H2O:A
 185  1.34529e+00   1.34529e+00   1.9022e-10  CH4 + OH <=> CH3 + H2O:E
 186  1.34529e+00   1.34529e+00   9.3216e-06  CH + CH4 <=> C2H4 + H:A
 187  1.34529e+00   1.34529e+00   2.6655e-05  CH2 + CH4 <=> 2 CH3:A
 188  1.34528e+00   1.34530e+00  -9.6688e-05  CH2 + CH4 <=> 2 CH3:E
 189  1.34529e+00   1.34528e+00   5.9275e-05  CH2* + CH4 <=> 2 CH3:A
 190  1.34529e+00   1.34529e+00   1.4844e-05  CH2* + CH4 <=> 2 CH3:E
 191  1.34529e+00   1.34529e+00  -2.9909e-09  C2H + CH4 <=> C2H2 + CH3:A
 192  1.34529e+00   1.34529e+00   1.1650e-08  C2H + CH4 <=> C2H2 + CH3:E
 193  1.34529e+00   1.34529e+00  -2.8558e-10  CH3OH + H <=> CH2OH + H2:A
 194  1.34529e+00   1.34529e+00   3.4539e-11  CH3OH + H <=> CH2OH + H2:E
 195  1.34529e+00   1.34529e+00  -1.8050e-10  CH3OH + H <=> CH3O + H2:A
 196  1.34529e+00   1.34529e+00  -1.0110e-11  CH3OH + H <=> CH3O + H2:E
 197  1.34529e+00   1.34529e+00   0.0000e+00  CH3OH + O <=> CH2OH + OH:A
 198  1.34529e+00   1.34529e+00   0.0000e+00  CH3OH + O <=> CH2OH + OH:E
 199  1.34529e+00   1.34529e+00   0.0000e+00  CH3OH + O <=> CH3O + OH:A
 200  1.34529e+00   1.34529e+00   0.0000e+00  CH3OH + O <=> CH3O + OH:E
 201  1.34529e+00   1.34529e+00   0.0000e+00  CH3OH + OH <=> CH2OH + H2O:A
 202  1.34529e+00   1.34529e+00   0.0000e+00  CH3OH + OH <=> CH2OH + H2O:E
 203  1.34529e+00   1.34529e+00   0.0000e+00  CH3OH + OH <=> CH3O + H2O:A
 204  1.34529e+00   1.34529e+00   0.0000e+00  CH3OH + OH <=> CH3O + H2O:E
 205  1.34529e+00   1.34529e+00   3.4211e-10  CH3 + CH3OH <=> CH2OH + CH4:A
 206  1.34529e+00   1.34529e+00   1.1343e-09  CH3 + CH3OH <=> CH2OH + CH4:E
 207  1.34529e+00   1.34529e+00  -1.2849e-09  CH3 + CH3OH <=> CH3O + CH4:A
 208  1.34529e+00   1.34529e+00   5.0085e-10  CH3 + CH3OH <=> CH3O + CH4:E
 209  1.34529e+00   1.34529e+00   1.3658e-08  C2H + H (+M) <=> C2H2 (+M):HpA
 210  1.34529e+00   1.34529e+00  -7.6171e-10  C2H + O <=> CH + CO:A
 211  1.34529e+00   1.34529e+00  -1.3478e-10  C2H + OH <=> H + HCCO:A
 212  1.34529e+00   1.34529e+00   3.8274e-11  C2H + O2 <=> CO + HCO:A
 213  1.34529e+00   1.34529e+00  -1.8619e-10  C2H + O2 <=> CO + HCO:E
 214  1.34529e+00   1.34529e+00   1.0942e-09  C2H + H2 <=> C2H2 + H:A
 215  1.34529e+00   1.34529e+00  -7.0356e-09  C2H + H2 <=> C2H2 + H:E
 216  1.34529e+00   1.34529e+00  -4.9044e-10  C2O + H <=> CH + CO:A
 217  1.34529e+00   1.34529e+00   0.0000e+00  C2O + O <=> 2 CO:A
 218  1.34529e+00   1.34529e+00   0.0000e+00  C2O + OH <=> 2 CO + H:A
 219  1.34529e+00   1.34529e+00   0.0000e+00  C2O + O2 <=> 2 CO + O:A
 220  1.34529e+00   1.34529e+00  -1.1284e-09  H + HCCO <=> CH2* + CO:A
 221  1.34529e+00   1.34529e+00   0.0000e+00  HCCO + O <=> 2 CO + H:A
 222  1.34529e+00   1.34529e+00   0.0000e+00  HCCO + O2 <=> 2 CO + OH:A
 223  1.34529e+00   1.34529e+00   0.0000e+00  HCCO + O2 <=> 2 CO + OH:E
 224  1.34529e+00   1.34529e+00   8.5904e-10  CH + HCCO <=> C2H2 + CO:A
 225  1.34529e+00   1.34529e+00   2.1356e-10  CH2 + HCCO <=> C2H3 + CO:A
 226  1.34529e+00   1.34529e+00   0.0000e+00  2 HCCO <=> C2H2 + 2 CO:A
 227  1.34529e+00   1.34529e+00   0.0000e+00  HCCO + OH <=> C2O + H2O:A
 228  1.34529e+00   1.34529e+00  -9.7008e-09  C2H2 (+M) <=> H2CC (+M):HpA
 229  1.34530e+00   1.34528e+00   1.6614e-04  C2H3 (+M) <=> C2H2 + H (+M):HpA
 230  1.34529e+00   1.34529e+00  -8.4722e-10  C2H2 + O <=> C2H + OH:A
 231  1.34529e+00   1.34529e+00   7.4717e-10  C2H2 + O <=> C2H + OH:E
 232  1.34529e+00   1.34529e+00  -6.6195e-10  C2H2 + O <=> CH2 + CO:A
 233  1.34529e+00   1.34529e+00   1.0191e-09  C2H2 + O <=> CH2 + CO:E
 234  1.34529e+00   1.34529e+00   1.7429e-09  C2H2 + O <=> H + HCCO:A
 235  1.34529e+00   1.34529e+00   9.0134e-10  C2H2 + O <=> H + HCCO:E
 236  1.34529e+00   1.34529e+00  -3.8372e-10  C2H2 + OH <=> CH2CO + H:A
 237  1.34529e+00   1.34529e+00  -8.2249e-10  C2H2 + OH <=> CH2CO + H:E
 238  1.34529e+00   1.34529e+00   8.1428e-11  C2H2 + OH <=> H + HCCOH:A
 239  1.34529e+00   1.34529e+00  -7.8253e-10  C2H2 + OH <=> H + HCCOH:E
 240  1.34529e+00   1.34529e+00   1.2990e-10  C2H2 + OH <=> C2H + H2O:A
 241  1.34529e+00   1.34529e+00   6.3184e-10  C2H2 + OH <=> C2H + H2O:E
