Value =  1.17394e+00
Rxn  Value+       Value-           Sensitivi   Reaction Name
   0  1.17394e+00   1.17394e+00   0.0000e+00  H + O2 <=> O + OH:A
   1  1.17394e+00   1.17394e+00   0.0000e+00  H + O2 <=> O + OH:E
   2  1.17394e+00   1.17394e+00   0.0000e+00  H2 + O <=> H + OH:A
   3  1.17394e+00   1.17394e+00   0.0000e+00  H2 + O <=> H + OH:E
   4  1.17394e+00   1.17394e+00   0.0000e+00  H2 + OH <=> H + H2O:A
   5  1.17394e+00   1.17394e+00   0.0000e+00  H2 + OH <=> H + H2O:E
   6  1.17394e+00   1.17394e+00   0.0000e+00  2 OH <=> H2O + O:A
   7  1.17394e+00   1.17394e+00   0.0000e+00  2 OH <=> H2O + O:E
   8  1.17394e+00   1.17394e+00   4.8496e-06  2 H + M <=> H2 + M:A
   9  1.17394e+00   1.17394e+00   1.1982e-08  2 H + H2 <=> 2 H2:A
  10  1.17394e+00   1.17394e+00   0.0000e+00  2 H + H2O <=> H2 + H2O:A
  11  1.17394e+00   1.17394e+00   0.0000e+00  CO2 + 2 H <=> CO2 + H2:A
  12  1.17394e+00   1.17394e+00   0.0000e+00  H + OH + M <=> H2O + M:A
  13  1.17394e+00   1.17394e+00   0.0000e+00  H + O + M <=> OH + M:A
  14  1.17394e+00   1.17394e+00   0.0000e+00  2 O + M <=> O2 + M:A
  15  1.17394e+00   1.17394e+00   0.0000e+00  H + O2 + M <=> HO2 + M:A
  16  1.17394e+00   1.17394e+00   0.0000e+00  H + O2 + M <=> HO2 + M:E
  17  1.17394e+00   1.17394e+00   0.0000e+00  H + H2 + O2 <=> H2 + HO2:A
  18  1.17394e+00   1.17394e+00   0.0000e+00  H + H2 + O2 <=> H2 + HO2:E
  19  1.17394e+00   1.17394e+00   0.0000e+00  H + 2 O2 <=> HO2 + O2:A
  20  1.17394e+00   1.17394e+00   0.0000e+00  H + 2 O2 <=> HO2 + O2:E
  21  1.17394e+00   1.17394e+00   0.0000e+00  CO + H + O2 <=> CO + HO2:A
  22  1.17394e+00   1.17394e+00   0.0000e+00  CO + H + O2 <=> CO + HO2:E
  23  1.17394e+00   1.17394e+00   0.0000e+00  CO2 + H + O2 <=> CO2 + HO2:A
  24  1.17394e+00   1.17394e+00   0.0000e+00  CO2 + H + O2 <=> CO2 + HO2:E
  25  1.17394e+00   1.17394e+00   0.0000e+00  H + H2O + O2 <=> H2O + HO2:A
  26  1.17394e+00   1.17394e+00   0.0000e+00  H + H2O + O2 <=> H2O + HO2:E
  27  1.17394e+00   1.17394e+00   0.0000e+00  AR + H + O2 <=> AR + HO2:A
  28  1.17394e+00   1.17394e+00   0.0000e+00  AR + H + O2 <=> AR + HO2:E
  29  1.17394e+00   1.17394e+00   0.0000e+00  H + HE + O2 <=> HE + HO2:A
  30  1.17394e+00   1.17394e+00   0.0000e+00  H + HE + O2 <=> HE + HO2:E
  31  1.17394e+00   1.17394e+00   0.0000e+00  H2 + O2 <=> H + HO2:A
  32  1.17394e+00   1.17394e+00   0.0000e+00  H2 + O2 <=> H + HO2:E
  33  1.17394e+00   1.17394e+00   5.6836e-07  2 OH (+M) <=> H2O2 (+M):HpA
  34  1.17394e+00   1.17394e+00   0.0000e+00  H + HO2 <=> H2O + O:A
  35  1.17394e+00   1.17394e+00   0.0000e+00  H + HO2 <=> H2O + O:E
  36  1.17394e+00   1.17394e+00   0.0000e+00  H + HO2 <=> 2 OH:A
  37  1.17394e+00   1.17394e+00   0.0000e+00  H + HO2 <=> 2 OH:E
  38  1.17394e+00   1.17394e+00   0.0000e+00  HO2 + O <=> O2 + OH:A
