Value =  9.11092e-01
Rxn  Value+       Value-           Sensitivi   Reaction Name
   0  9.11092e-01   9.11092e-01   0.0000e+00  H + O2 <=> O + OH:A
   1  9.11092e-01   9.11092e-01   0.0000e+00  H + O2 <=> O + OH:E
   2  9.11092e-01   9.11092e-01   0.0000e+00  H2 + O <=> H + OH:A
   3  9.11092e-01   9.11092e-01   0.0000e+00  H2 + O <=> H + OH:E
   4  9.11092e-01   9.11092e-01   0.0000e+00  H2 + OH <=> H + H2O:A
   5  9.11092e-01   9.11092e-01   0.0000e+00  H2 + OH <=> H + H2O:E
   6  9.11092e-01   9.11092e-01   0.0000e+00  2 OH <=> H2O + O:A
   7  9.11092e-01   9.11092e-01   0.0000e+00  2 OH <=> H2O + O:E
   8  9.11092e-01   9.11092e-01   3.5234e-06  2 H + M <=> H2 + M:A
   9  9.11092e-01   9.11092e-01  -1.8402e-07  2 H + H2 <=> 2 H2:A
  10  9.11092e-01   9.11092e-01   0.0000e+00  2 H + H2O <=> H2 + H2O:A
  11  9.11092e-01   9.11092e-01   0.0000e+00  CO2 + 2 H <=> CO2 + H2:A
  12  9.11092e-01   9.11092e-01   0.0000e+00  H + OH + M <=> H2O + M:A
  13  9.11092e-01   9.11092e-01   0.0000e+00  H + O + M <=> OH + M:A
  14  9.11092e-01   9.11092e-01   0.0000e+00  2 O + M <=> O2 + M:A
  15  9.11092e-01   9.11092e-01   0.0000e+00  H + O2 + M <=> HO2 + M:A
  16  9.11092e-01   9.11092e-01   0.0000e+00  H + O2 + M <=> HO2 + M:E
  17  9.11092e-01   9.11092e-01   0.0000e+00  H + H2 + O2 <=> H2 + HO2:A
  18  9.11092e-01   9.11092e-01   0.0000e+00  H + H2 + O2 <=> H2 + HO2:E
  19  9.11092e-01   9.11092e-01   0.0000e+00  H + 2 O2 <=> HO2 + O2:A
  20  9.11092e-01   9.11092e-01   0.0000e+00  H + 2 O2 <=> HO2 + O2:E
  21  9.11092e-01   9.11092e-01   0.0000e+00  CO + H + O2 <=> CO + HO2:A
  22  9.11092e-01   9.11092e-01   0.0000e+00  CO + H + O2 <=> CO + HO2:E
  23  9.11092e-01   9.11092e-01   0.0000e+00  CO2 + H + O2 <=> CO2 + HO2:A
  24  9.11092e-01   9.11092e-01   0.0000e+00  CO2 + H + O2 <=> CO2 + HO2:E
  25  9.11092e-01   9.11092e-01   0.0000e+00  H + H2O + O2 <=> H2O + HO2:A
  26  9.11092e-01   9.11092e-01   0.0000e+00  H + H2O + O2 <=> H2O + HO2:E
  27  9.11092e-01   9.11092e-01   0.0000e+00  AR + H + O2 <=> AR + HO2:A
  28  9.11092e-01   9.11092e-01   0.0000e+00  AR + H + O2 <=> AR + HO2:E
  29  9.11092e-01   9.11092e-01   0.0000e+00  H + HE + O2 <=> HE + HO2:A
  30  9.11092e-01   9.11092e-01   0.0000e+00  H + HE + O2 <=> HE + HO2:E
  31  9.11092e-01   9.11092e-01   0.0000e+00  H2 + O2 <=> H + HO2:A
  32  9.11092e-01   9.11092e-01   0.0000e+00  H2 + O2 <=> H + HO2:E
  33  9.11092e-01   9.11092e-01   1.2482e-07  2 OH (+M) <=> H2O2 (+M):HpA
  34  9.11092e-01   9.11092e-01   0.0000e+00  H + HO2 <=> H2O + O:A
  35  9.11092e-01   9.11092e-01   0.0000e+00  H + HO2 <=> H2O + O:E
  36  9.11092e-01   9.11092e-01   0.0000e+00  H + HO2 <=> 2 OH:A
  37  9.11092e-01   9.11092e-01   0.0000e+00  H + HO2 <=> 2 OH:E
  38  9.11092e-01   9.11092e-01   0.0000e+00  HO2 + O <=> O2 + OH:A
  39  9.11092e-01   9.11092e-01   0.0000e+00  2 HO2 <=> H2O2 + O2:A
  40  9.11092e-01   9.11092e-01   0.0000e+00  2 HO2 <=> H2O2 + O2:E
  41  9.11092e-01   9.11092e-01   0.0000e+00  2 HO2 <=> H2O2 + O2:A
  42  9.11092e-01   9.11092e-01   0.0000e+00  2 HO2 <=> H2O2 + O2:E
